Tanggal	Kasus harian	Kasus Impor	Kasus Lokal	Total kasus	Kasus aktif	% kasus aktif	"Sembuh (baru)"	Sembuh	Tingkat kesembuhan (seluruh kasus)	Tingkat kesembuhan (closed cases)	"Meninggal (baru)"
11-Aug	30,625			3,749,446	426,170	11.37%	39,931	3,211,078	85.64%	96.62%	1,579
12-Aug	24,709			3,774,155	412,776	10.94%	36,637	3,247,715	86.05%	96.62%	1,466
13-Aug	30,788			3,804,943	400,129	10.52%	42,003	3,289,718	86.46%	96.62%	1,432
14-Aug	28,598			3,833,541	395,577	10.32%	31,880	3,321,598	86.65%	96.62%	1,270
15-Aug	20,813			3,854,354	384,807	9.98%	30,361	3,351,959	86.97%	96.61%	1,222
16-Aug	17,384			3,871,738	371,021	9.58%	29,925	3,381,884	87.35%	96.61%	1,245
17-Aug	20,741			3,892,479	358,357	9.21%	32,225	3,414,109	87.71%	96.60%	1,180
18-Aug	15,768			3,908,247	343,203	8.78%	29,794	3,443,903	88.12%	96.60%	1,128
19-Aug	22,053			3,930,300	334,752	8.52%	29,012	3,472,915	88.36%	96.59%	1,492
20-Aug	20,004			3,950,304	327,286	8.29%	26,122	3,499,037	88.58%	96.58%	1,348
21-Aug	16,744			3,967,048	319,658	8.06%	23,011	3,522,048	88.78%	96.56%	1,361
22-Aug	12,408			3,979,456	306,760	7.71%	24,276	3,546,324	89.12%	96.56%	1,030
23-Aug	9,604			3,989,060	290,764	7.29%	24,758	3,571,082	89.52%	96.56%	842
24-Aug	19,106			4,008,166	273,750	6.83%	35,082	3,606,164	89.97%	96.57%	1,038
25-Aug	18,671			4,026,837	257,677	6.40%	33,703	3,639,867	90.39%	96.57%	1,041
26-Aug	16,899			4,043,736	243,588	6.02%	30,099	3,669,966	90.76%	96.57%	889
27-Aug	12,618			4,056,354	236,317	5.83%	19,290	3,689,256	90.95%	96.58%	599
28-Aug	10,050			4,066,404	227,182	5.59%	18,594	3,707,850	91.18%	96.58%	591
29-Aug	7,427			4,073,831	217,590	5.34%	16,468	3,724,318	91.42%	96.58%	551
30-Aug	5,436			4,079,267	203,060	4.98%	19,398	3,743,716	91.77%	96.58%	568
31-Aug	10,534			4,089,801	196,281	4.80%	16,781	3,760,497	91.95%	96.58%	532
1-Sep	10,337			4,100,138	189,571	4.62%	16,394	3,776,891	92.12%	96.58%	653
2-Sep	8,955			4,109,093	176,638	4.30%	21,208	3,798,099	92.43%	96.58%	680
3-Sep	7,797			4,116,890	168,317	4.09%	15,544	3,813,643	92.63%	96.58%	574
4-Sep	6,727			4,123,617	160,699	3.90%	13,806	3,827,449	92.82%	96.58%	539
5-Sep	5,403			4,129,020	155,519	3.77%	10,191	3,837,640	92.94%	96.58%	392
